Date,Close,High,Low,Open,Volume,Symbol
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
2020-01-01,675.3241577148438,683.1528519736394,673.4900624593615,679.0819357370663,14004468,RELIANCE
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,RELIANCE
2020-01-03,687.6488037109375,689.6618949086101,681.3187290426969,685.7922517653002,20984698,RELIANCE
2020-01-06,671.7007446289062,683.510829151107,670.1349935917717,679.976780464453,24519177,RELIANCE
2020-01-07,682.0344848632812,686.4632732386915,677.0688284082713,679.5292597584985,16683622,RELIANCE
2020-01-08,676.9124145507812,686.4410035098094,675.5032624964547,677.7400241132464,16047902,RELIANCE
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742,RELIANCE
2020-01-10,692.3460083007812,696.9537331994524,688.7671661721967,694.247234586273,12478359,RELIANCE
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382,RELIANCE
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535,RELIANCE
2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,RELIANCE
2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975,RELIANCE
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471,RELIANCE
2020-01-20,685.5015869140625,719.7912122876511,682.839822082319,719.7912122876511,32545850,RELIANCE
2020-01-21,686.1949462890625,691.5408127343894,680.8714169985212,683.8239827310947,18922720,RELIANCE
2020-01-22,685.9488525390625,691.9433921150559,684.9423069375898,690.7131763493682,10322817,RELIANCE
2020-01-23,683.0411987304688,689.796218032275,680.2899656476081,687.3581232334355,11247739,RELIANCE
2020-01-24,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445,RELIANCE
2020-01-27,673.9597778320312,681.9674086637826,673.2663704558863,677.6952189115842,13387750,RELIANCE
2020-01-28,658.3919067382812,675.5031818296184,654.7459935025485,674.8768456496997,24532236,RELIANCE
2020-01-29,662.0155639648438,668.5245158029838,654.9473470644701,659.4208703121658,24746565,RELIANCE
2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,RELIANCE
2020-01-31,631.5059814453125,650.1158766250334,629.5152871221561,650.0040116804691,34750310,RELIANCE
2020-02-03,619.8076782226562,626.2719547408867,609.7646194987522,612.8289902103342,30712290,RELIANCE
2020-02-04,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901,RELIANCE
2020-02-05,647.990966796875,649.9145900708021,639.8491930659694,641.9069587229454,18472100,RELIANCE
2020-02-06,652.1513061523438,656.26695662953,644.2332031533095,650.4961469348968,15538577,RELIANCE
2020-02-07,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212,RELIANCE
2020-02-10,642.2201538085938,646.6489428047836,630.9692153123326,638.8202476362594,15142476,RELIANCE
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816,RELIANCE
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565,RELIANCE
2020-02-13,659.465576171875,661.076061195236,654.2986456938107,661.076061195236,13565659,RELIANCE
2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841,RELIANCE
2020-02-17,661.2996826171875,673.7808361092095,659.5326584603905,666.1087404521531,13149130,RELIANCE
2020-02-18,656.4459838867188,660.2484966614289,651.9724605253016,660.2484966614289,11127161,RELIANCE
2020-02-19,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,RELIANCE
2020-02-20,664.7443237304688,674.6084467350322,663.7825121618259,669.687583672214,16892268,RELIANCE
2020-02-24,646.4028930664062,660.7405401434429,643.9871953423907,657.4972328720769,21370214,RELIANCE
2020-02-25,633.6309814453125,649.2883120922913,630.7678836964259,649.2883120922913,27745062,RELIANCE
2020-02-26,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748,RELIANCE
2020-02-27,620.1431884765625,623.5206972699094,612.4262996742075,620.9260041253467,25054993,RELIANCE
2020-02-28,594.3756713867188,607.0581581658521,592.7428492925397,606.1186837322065,39315769,RELIANCE
2020-03-02,588.7837524414062,612.4263145698782,582.0510718430629,606.2081051825395,29500495,RELIANCE
2020-03-03,600.7280883789062,605.6713484615526,591.4007735026032,594.8454135797672,27398798,RELIANCE
2020-03-04,599.3189086914062,605.6265863851147,585.0930684252744,604.8213738082619,22105261,RELIANCE
2020-03-05,586.5469970703125,607.4831207123542,584.2431048990697,604.9108243565992,30510390,RELIANCE
2020-03-06,568.5857543945312,576.2579099445863,555.2099199542964,568.1384140570675,33734039,RELIANCE
2020-03-09,498.41845703125,555.1651920392663,489.85165057435484,554.7401888514859,88187018,RELIANCE
2020-03-11,516.044189453125,527.183262933386,495.6672390040311,495.6672390040311,59578576,RELIANCE
2020-03-12,475.5363464355469,492.5357574215292,469.13920029845366,485.3781326945414,55970485,RELIANCE
2020-03-13,494.4593811035156,509.98250923399024,421.58557799627334,446.45838815033005,73297403,RELIANCE
2020-03-16,454.37652587890625,483.0071128058158,449.5898351157526,474.44030673011787,38482258,RELIANCE
2020-03-17,450.93194580078125,474.19430109253625,448.7846523850041,468.4905324264047,45445979,RELIANCE
2020-03-18,433.261474609375,463.4130789981454,429.90633253193516,458.6711221665263,44730415,RELIANCE
2020-03-19,410.5359191894531,432.59042415452996,399.12841250234374,411.6095658236809,61404010,RELIANCE
2020-03-20,455.383056640625,462.9656838974673,416.03834178354435,420.28819415883976,63360475,RELIANCE
2020-03-23,395.4825134277344,424.98544483853334,391.72473514239124,409.86489349215907,40670949,RELIANCE
2020-03-24,422.03289794921875,433.93247910305325,400.7389011910396,416.0383584084689,45734887,RELIANCE
2020-03-25,484.1478576660156,515.1494078462537,430.912866475202,431.15890365113535,73130298,RELIANCE
2020-03-26,476.9678955078125,499.64870950698065,466.29852893357656,490.209558827126,45744488,RELIANCE
2020-03-27,476.6994323730469,495.3540612398386,468.02079126607595,489.8516259919914,41657940,RELIANCE
2020-03-30,460.9750061035156,480.815118140311,456.30017996614265,465.51565999753865,30229866,RELIANCE
2020-03-31,498.239501953125,505.4194933506304,468.8260394087323,480.43484934010263,44292810,RELIANCE
2020-04-01,483.3426513671875,503.093264271414,467.5734569491014,502.0419846435416,41597459,RELIANCE
2020-04-03,482.0005798339844,507.4997254458984,472.5390630031507,507.4997254458984,41367807,RELIANCE
2020-04-07,539.5526123046875,543.086660841312,492.08842686836795,493.0278714782651,54373624,RELIANCE
2020-04-08,533.31201171875,549.7970116946221,518.9296308909336,527.8766770166352,49880330,RELIANCE
2020-04-09,545.7484130859375,551.4968858405396,533.6922622821191,543.0866484415843,33032857,RELIANCE
2020-04-13,531.969970703125,543.534047096568,527.8766572382242,538.590786977077,23673784,RELIANCE
2020-04-15,514.388916015625,552.9283884903713,511.32454531609477,535.50397581859,35321842,RELIANCE
2020-04-16,522.53076171875,531.2094028193618,512.2192985890305,514.3889290016788,37455706,RELIANCE
2020-04-17,547.5601806640625,550.2443422338717,533.5356723756136,543.9813981126731,33269335,RELIANCE
2020-04-20,556.4177856445312,562.3227974116861,537.7184224485133,548.4548889228998,36030932,RELIANCE
2020-04-21,553.5324096679688,560.0860954670951,520.719067459836,541.2972622124873,61371628,RELIANCE
2020-04-22,610.0106811523438,619.5393292310587,581.5590584712065,590.5061043699907,142683366,RELIANCE
2020-04-23,613.2763671875,619.9643142606366,605.4029383592604,611.6882791292506,65464502,RELIANCE
2020-04-24,633.8992919921875,668.7704533015283,602.6740436590786,603.9937273862114,134986308,RELIANCE
2020-04-27,639.6030883789062,659.8458058753123,636.5834515375906,641.5043146604703,58482901,RELIANCE
2020-04-28,638.8873901367188,651.1000807620374,622.7826591494636,648.6620459031445,78453401,RELIANCE
2020-04-29,638.3505249023438,650.2948710877204,635.2414197546999,646.3805532770238,37494672,RELIANCE
2020-04-30,655.8197021484375,668.7705945819996,643.3162098274911,650.4291011653437,71345899,RELIANCE
2020-05-04,642.0411376953125,655.372237059235,634.100578563775,644.1884308722197,53456868,RELIANCE
2020-05-05,653.42626953125,661.6352335022636,647.409392668105,650.3172243173109,44903763,RELIANCE
2020-05-06,653.4710693359375,664.2970042488814,646.6489200756587,654.9249553114857,40489094,RELIANCE
