Date,Close,High,Low,Open,Volume,Symbol,Dividends,Stock Splits
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,
2020-01-01,633.1510620117188,635.8577748694352,629.4562232684716,631.5614385527498,2112415,INFY,,
2020-01-02,631.3037109375,636.5452206149837,628.0385056083046,634.9126441731436,5658200,INFY,,
2020-01-03,641.013427734375,642.7319623931803,630.6163140268093,630.6163140268093,7882938,INFY,,
2020-01-06,634.8696899414062,647.7157479073298,632.8504325536925,641.0993785171215,6519403,INFY,,
2020-01-07,625.4607543945312,638.091943075868,623.0547637452105,634.1393340585887,7899363,INFY,,
2020-01-08,617.1258544921875,626.4059318828291,608.6190862908794,622.9259094170285,8639443,INFY,,
2020-01-09,625.1599731445312,628.5540897917724,613.7746803355894,620.1332799391682,13521186,INFY,,
2020-01-10,634.2682495117188,638.349769643852,627.6948329522857,636.2445540339635,9341405,INFY,,
2020-01-13,664.6863403320312,668.0804573245858,648.7469392669611,653.0432766130999,36952038,INFY,,
2020-01-14,666.49072265625,667.607759691393,659.2299032595474,661.592888406991,11414418,INFY,,
2020-01-15,659.5306396484375,664.944013428589,654.8906274563863,664.944013428589,6047430,INFY,,
2020-01-16,659.05810546875,663.7840762380827,653.25805043366,662.2374053844961,5740586,INFY,,
2020-01-17,659.788330078125,664.1276716019415,654.9764545063318,662.2372731824834,3762957,INFY,,
2020-01-20,660.303955078125,665.4166059085701,655.5779850146992,663.0106155562338,3887680,INFY,,
2020-01-21,655.19140625,662.0655455942623,653.6876882684426,660.3040578763993,4448374,INFY,,
2020-01-22,661.8076782226562,668.5099526054332,658.1987451102337,660.3039604629397,9733935,INFY,,
2020-01-23,673.9663696289062,674.9545481250569,667.3930054333838,667.7366809288342,12528017,INFY,,
2020-01-24,672.591552734375,675.8138054622625,664.7292351001217,666.5766809756518,7540490,INFY,,
2020-01-27,668.5958862304688,674.3529878110744,665.4166390766485,669.4122006803074,3741610,INFY,,
2020-01-28,668.5099487304688,671.7751539292527,663.354345012753,671.0877505893266,5121009,INFY,,
2020-01-29,678.5633544921875,681.227061975943,673.8803375135111,675.8995945629215,6832757,INFY,,
2020-01-30,670.830078125,678.5634848224805,668.5100456266517,678.5634848224805,3859680,INFY,,
2020-01-31,666.7484741210938,674.481879846576,663.0106298864689,670.7010827359123,6092028,INFY,,
2020-02-03,659.4017333984375,679.6374674069847,656.9098373016258,671.9470147414929,6416745,INFY,,
2020-02-04,676.9736938476562,678.7352336975645,661.7216998917521,661.7216998917521,5771311,INFY,,
2020-02-05,674.1380615234375,675.3840094345237,665.4165310368481,671.087673496645,6310409,INFY,,
2020-02-06,662.7958984375,676.0715904654292,661.6359084074614,673.9663748132103,7341622,INFY,,
2020-02-07,667.908447265625,669.2403010625379,662.4950738825356,666.7484574140747,2853344,INFY,,
2020-02-10,664.385498046875,668.5099706672875,661.4210153228079,665.0729014093579,3827682,INFY,,
2020-02-11,664.6863403320312,669.4552642971405,660.9485478191002,669.3693585284275,4312817,INFY,,
2020-02-12,671.1307373046875,673.021135918938,666.0180862043903,666.6195838242222,2948825,INFY,,
2020-02-13,680.7545776367188,682.2582955425115,672.1189510096988,674.5248891698634,4387430,INFY,,
2020-02-14,675.770751953125,686.7264095965432,674.1810760434396,682.6878429565338,5321680,INFY,,
2020-02-17,678.3485107421875,681.7855795888685,673.063996412212,679.0788668939038,2929629,INFY,,
2020-02-18,685.3945922851562,686.5975350544546,673.3648499190842,674.5248398118925,5083346,INFY,,
2020-02-19,687.800537109375,691.5812818518593,684.1056981207253,687.4138563260885,3985192,INFY,,
2020-02-20,684.8359985351562,692.6553095352078,682.1292857183249,690.2064188498924,4564569,INFY,,
2020-02-24,683.8477783203125,697.381236684265,680.6685316451869,687.4996639105854,6627536,INFY,,
2020-02-25,686.0390014648438,692.5694116636162,683.461199684458,686.5545408427163,6996695,INFY,,
2020-02-26,672.591552734375,688.6598634932111,670.6582010976425,682.2153580374362,8760569,INFY,,
2020-02-27,668.381103515625,670.8729998695887,663.5262743370657,668.5100145994749,5223386,INFY,,
2020-02-28,628.7259521484375,650.2935423983963,620.4340009570107,644.4505347061641,14123957,INFY,,
2020-03-02,636.760009765625,658.1128332217729,630.4873690869798,633.2799877575525,9821523,INFY,,
2020-03-03,641.8726196289062,652.183826369933,636.9318330654977,648.7467574562573,7826587,INFY,,
2020-03-04,651.9691162109375,654.332101475623,640.6267764513437,647.8016904496086,11013444,INFY,,
2020-03-05,648.403076171875,664.6862018093927,645.954185373142,656.2653928549879,7755293,INFY,,
2020-03-06,634.9555053710938,639.2947942245108,626.4916920178867,636.7169926348959,9216022,INFY,,
2020-03-09,605.3109130859375,623.6992034520741,598.9093606501428,622.5392134734986,10308654,INFY,,
2020-03-11,589.4573974609375,598.0071180152542,574.8928055039582,593.4530115851985,16165009,INFY,,
2020-03-12,542.3694458007812,575.7090013606237,539.1901467967035,573.9904670282039,13965574,INFY,,
2020-03-13,551.9503173828125,573.1312768534269,489.7823505344128,508.6862307304778,16903113,INFY,,
2020-03-16,501.081787109375,534.5932144936081,498.37507391936435,534.4643034100769,19140152,INFY,,
2020-03-17,476.850341796875,508.6861809788303,472.59695867965655,505.3350179299897,16059887,INFY,,
