Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2020-01-01,1900.0374755859375,1914.3252770048746,1888.116136752984,1900.3880150791408,1354908,TCS
2020-01-02,1891.31640625,1910.863807412253,1883.90949038936,1910.863807412253,2380752,TCS
2020-01-03,1929.0078125,1948.5990764003263,1896.8818719434576,1896.8818719434576,4655761,TCS
2020-01-06,1928.832763671875,1951.185117310929,1917.831856628987,1932.8211676123146,3023209,TCS
2020-01-07,1933.566162109375,1941.279743641955,1914.237909327274,1928.8764654690196,2429317,TCS
2020-01-08,1976.8682861328125,1981.0319594990162,1930.23518723225,1932.8210047324474,5197454,TCS
2020-01-09,1941.0177001953125,1973.9763462900858,1937.204564884281,1971.1713870061205,3734173,TCS
2020-01-10,1940.3153076171875,1958.2409711095581,1935.4503420814253,1952.981595179989,1915807,TCS
2020-01-13,1919.97998046875,1945.0495555348982,1915.027270786255,1944.0854645735,2843893,TCS
2020-01-14,1934.486083984375,1954.5594976666994,1924.0550737422204,1924.0550737422204,2948452,TCS
2020-01-15,1952.017333984375,1955.611326551174,1923.353777332923,1939.833198412258,2620681,TCS
2020-01-16,1962.449462890625,1971.3903634901378,1941.5872188219898,1952.0621048088337,3117214,TCS
2020-01-17,1945.180908203125,1975.3784587231924,1939.833788660548,1964.1584102761512,3281059,TCS
2020-01-20,1902.448974609375,1965.4299104013683,1890.0454772663231,1923.968429376157,5817599,TCS
2020-01-21,1903.0618896484375,1916.6486143328698,1891.6665721711718,1902.0975848754404,1902980,TCS
2020-01-22,1934.486083984375,1937.203513881689,1905.3842459432633,1911.7831962787166,1773686,TCS
2020-01-23,1924.86669921875,1948.4119753210646,1918.4971865049285,1941.4275180709242,2069866,TCS
2020-01-24,1918.2335205078125,1924.8666419657889,1906.4609900521132,1924.8666419657889,1319430,TCS
2020-01-27,1905.8018798828125,1927.0628283380074,1902.068028095558,1923.7682532316064,1549101,TCS
2020-01-28,1918.541015625,1922.0991998457403,1890.64694476245,1909.9751198483114,1743024,TCS
2020-01-29,1892.93115234375,1921.3522248017414,1888.8897210977332,1919.6390886504869,2306761,TCS
2020-01-30,1878.2152099609375,1902.0678456470832,1866.9257145496774,1897.6750792599075,2098567,TCS
2020-01-31,1826.55615234375,1883.9257216826838,1820.0109736188228,1879.576711562198,3287223,TCS
2020-02-03,1847.15869140625,1928.1612793512493,1838.9881011454304,1890.6470886593343,4728073,TCS
2020-02-04,1851.770751953125,1877.204827555331,1833.1894351144008,1870.440009919679,3509339,TCS
2020-02-05,1885.85888671875,1894.7761181360831,1848.7400047213953,1858.1404834178752,2439322,TCS
2020-02-06,1869.8690185546875,1910.1505590251898,1858.579522752618,1884.4968453341364,2640065,TCS
2020-02-07,1877.073486328125,1889.7685412547999,1861.6548298088892,1879.2258994625834,2083442,TCS
2020-02-10,1899.388427734375,1903.8251651798626,1861.6546031454216,1880.8948362774072,2383032,TCS
2020-02-11,1891.8768310546875,1910.6780027603704,1886.781392859032,1900.3110296036677,1335820,TCS
2020-02-12,1907.1195068359375,1919.6388909070706,1888.8895265218314,1889.8560209130137,1620407,TCS
2020-02-13,1925.7452392578125,1930.1819771877008,1907.3395869251244,1909.052723296699,1645948,TCS
2020-02-14,1918.9364013671875,1943.3602301597175,1907.3395387327064,1922.2749473731744,1500115,TCS
2020-02-17,1935.6724853515625,1947.7525927717754,1924.2073223200882,1930.137556871829,1774724,TCS
2020-02-18,1946.654541015625,1951.2669459982862,1920.5615500118236,1932.7733555030272,2486223,TCS
2020-02-19,1929.610595703125,1959.1738279838823,1924.4709731832709,1946.6544436570794,1760463,TCS
2020-02-20,1894.8638916015625,1945.468435424528,1889.9878776536057,1936.7708431318415,2317278,TCS
